type	rank	popularity	fpid	kind	name
f	626	0.0357	9781617292422	book	Express in Action: Writing, building, and testing Node.js applications
a	626	0.0357	9781617292422	book	Evan M. Hahn
f	627	0.0356	9780768696974	book	Linux Kernel Development, Third Edition
a	627	0.0356	9780768696974	book	Robert Love
f	628	0.0356	9781771374040	video	Design Patterns in Java
a	628	0.0356	9781771374040	video	Petter Graff
f	629	0.0356	0636920121633	olt	Introduction to encryption
a	629	0.0356	0636920121633	olt	Michael Pound
f	630	0.0356	9780134399591	book	IP Multicast, Volume 1: Cisco IP Multicast Networking
a	630	0.0356	9780134399591	book	Arvind Durai
a	630	0.0356	9780134399591	book	Josh Loveless
a	630	0.0356	9780134399591	book	Ray Blair
f	631	0.0356	9781509302031	book	T-SQL Fundamentals, Third Edition
a	631	0.0356	9781509302031	book	Itzik Ben-Gan
f	632	0.0355	9781491989173	video	Administering a SQL Database Infrastructure - Exam 70-764 Certification Training
a	632	0.0355	9781491989173	video	Mark Long
f	633	0.0354	9781284056242	book	Essentials of Discrete Mathematics, 3rd Edition
a	633	0.0354	9781284056242	book	David J. Hunter
f	634	0.0354	9781587058646	book	BGP Design and Implementation
a	634	0.0354	9781587058646	book	Micah Bartell - CCIE No. 5069
a	634	0.0354	9781587058646	book	Randy Zhang - CCIE No. 5659
f	635	0.0354	9781617290459	book	Java Persistence with Hibernate, Second Edition
a	635	0.0354	9781617290459	book	Christian Bauer
a	635	0.0354	9781617290459	book	Gavin King
a	635	0.0354	9781617290459	book	Gary Gregory
f	636	0.0354	9781491915028	video	Introduction to Data Science with R
a	636	0.0354	9781491915028	video	Garrett Grolemund
f	637	0.0353	9781491996300	video	Understanding Regular Expressions
a	637	0.0353	9781491996300	video	Damian Conway
f	638	0.0352	9780735667259	book	Training Kit (Exam 70-461): Querying Microsoft SQL Server 2012
a	638	0.0352	9780735667259	book	Dejan Sarka Itzik Ben-Gan
